Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE
2,2018/2019,4,PDS200,8.0,15.2,9.0,9.0,14.67,14.7,46.9,,,26.0,72.9,B+
2,2018/2019,4,PDS201,8.0,12.8,10.0,10.0,15.67,15.7,46.5,,,33.5,80.0,A
2,2018/2019,4,PDS202,8.0,13.6,10.0,10.0,16.67,16.7,48.3,,,33.5,81.8,A
2,2018/2019,4,PDS203,8.0,15.6,8.0,8.0,15.0,15.0,46.6,,,35.0,81.6,A
2,2018/2019,4,PDS204,8.0,16.4,10.0,10.0,18.0,18.0,52.4,,,29.5,81.9,A
2,2018/2019,4,PDS205,10.0,16.0,10.0,10.0,14.67,14.7,50.7,,,25.0,75.7,A-
1,2019/2020,5,PDS206,10.0,15.7,8.0,8.0,14.0,14.0,47.7,,,30.5,78.2,A-
1,2019/2020,5,PDS207,9.0,10.8,10.0,10.0,15.5,15.5,45.3,,,27.0,72.3,B+
1,2019/2020,5,PDS208,9.0,10.0,10.0,10.0,15.5,15.5,44.5,,,37.0,81.5,A
1,2019/2020,5,PDS209,9.0,12.7,10.0,10.0,15.5,15.5,47.2,,,36.0,83.2,A
1,2019/2020,5,PDS210,10.0,12.7,10.0,10.0,14.5,14.5,47.2,,,35.0,82.2,A
1,2019/2020,5,PDS211,8.0,10.0,10.0,10.0,15.0,15.0,43.0,,,33.0,76.0,A-
1,2019/2020,5,PDS212,7.0,12.7,10.0,10.0,15.0,15.0,44.7,,,37.0,81.7,A
1,2019/2020,5,PDS213,8.0,13.7,10.0,10.0,15.0,15.0,46.7,,,20.0,66.7,B
1,2019/2020,5,PDS214,7.5,17.7,10.0,10.0,15.5,15.5,50.7,,,39.0,89.7,A
1,2019/2020,5,PDS215,7.0,9.3,10.0,10.0,14.0,14.0,40.3,,,28.0,68.3,B
1,2019/2020,5,PDS216,7.0,8.7,10.0,10.0,14.5,14.5,40.2,,,25.0,65.2,B
